VENUE	PokerAtlasURL
Fortune Poker Club	https://www.pokeratlas.com/poker-room/fortune-poker-club-houston
Gin Mill Card Club Farwell	
Gin Mill Card Club Lubbock	https://www.pokeratlas.com/poker-room/gin-mill-card-club-lubbock
House of Kings Card Club	https://www.pokeratlas.com/poker-room/house-of-kings-card-club-el-paso
Johny's Social Card Club	
Jokers of Aggieland Poker Club	
JokerStars Social Club	
Katy Poker	https://www.pokeratlas.com/poker-room/katy-poker
KoJack's Poker Club	https://www.pokeratlas.com/poker-room/kojack-s-poker-club-midland
Lodge Card Club Austin	https://www.pokeratlas.com/poker-room/lodge-card-club-austin-round-rock
Lone Star Social	https://www.pokeratlas.com/poker-room/lone-star-social-cedar-park
Lucky J Social Club	
Matador Poker House	https://www.pokeratlas.com/poker-room/matador-poker-house-lubbock
Oak Cliff Card Club	https://www.pokeratlas.com/poker-room/oak-cliff-card-club-dallas
On The River Social Club	https://www.pokeratlas.com/poker-room/on-the-river-social-club-san-marcos
Palace Poker	https://www.pokeratlas.com/poker-room/palace-poker-grand-prairie
PH Social Club Dallas	
Poker 1	
Poker House Fort Worth	https://www.pokeratlas.com/poker-room/poker-house-fort-worth-burleson
PrymeTyme Poker House	
Red Star Social	
River Rats Poker Club	https://www.pokeratlas.com/poker-room/river-rats-poker-club-navasota
Rustlers Poker Club	
SA Card House	https://www.pokeratlas.com/poker-room/sa-card-house-san-antonio
Shuffle 214	https://www.pokeratlas.com/poker-room/shuffle-214-dallas
Shuffle 512	https://www.pokeratlas.com/poker-room/shuffle-512-austin
South Plains Social Club	
Spades Poker House	https://www.pokeratlas.com/poker-room/spades-poker-house-webster
Spades Poker House Baytown	
Sportsbook Bishop Arts	
Sun City Card Club	https://www.pokeratlas.com/poker-room/sun-city-card-club-el-paso
TCH Social Austin	https://www.pokeratlas.com/poker-room/tch-social-austin
TCH Social Las Colinas	https://www.pokeratlas.com/poker-room/tch-social-las-colinas-irving
Texas Card House Dallas	https://www.pokeratlas.com/poker-room/texas-card-house-dallas
Texas Card House Houston	https://www.pokeratlas.com/poker-room/texas-card-house-houston
Texas Card House Rio Grande Valley	https://www.pokeratlas.com/poker-room/texas-card-house-rio-grande-valley-edinburg
Texas Card House Spring	https://www.pokeratlas.com/poker-room/texas-card-house-spring
Texas Double Deuce Social Club	
Texline Card House	
The Big Blind	https://www.pokeratlas.com/poker-room/big-blind-san-antonio
The Club EPTX	
The Desperado Club	
The Fort Card Room	https://www.pokeratlas.com/poker-room/the-fort-card-room-aledo
The Hangar Poker House	https://www.pokeratlas.com/poker-room/hangar-poker-house-humble
The Office Card Room	
The River League	
The River Poker Club	https://www.pokeratlas.com/poker-room/the-river-poker-club-spring
The Royal Card Club	
The Royal Card House of San Antonio	
The Speakeasy Card Room	
The Wheel Social Club	
The White Rabbit	
VIP Social Club	https://www.pokeratlas.com/poker-room/vip-social-club-amarillo
West Texas Card House	
Bankers Casino	https://www.pokeratlas.com/poker-room/bankers-casino-salinas
Oceanview Casino	https://www.pokeratlas.com/poker-room/oceanview-santa-cruz
Outlaws Card Parlour	
Casino Monterey - The Marina Club	https://www.pokeratlas.com/poker-room/casino-monterey-the-marina-club
Bay 101 Casino	https://www.pokeratlas.com/poker-room/bay-101-san-jose
Oaks Card Club	https://www.pokeratlas.com/poker-room/oaks-card-club-emeryville
Stones Gambling Hall	https://www.pokeratlas.com/poker-room/stones-gambling-hall-citrus-heights
Artichoke Joe's Casino	https://www.pokeratlas.com/poker-room/artichoke-joes-san-bruno
Lucky Chances Casino	https://www.pokeratlas.com/poker-room/lucky-chances-colma
Capitol Casino	https://www.pokeratlas.com/poker-room/capitol-casino-sacramento
Limelight Card Room	https://www.pokeratlas.com/poker-room/limelight-card-room-sacramento
Kings Card Club	https://www.pokeratlas.com/poker-room/kings-card-club-stockton
Parkwest Casino Cordova	https://www.pokeratlas.com/poker-room/parkwest-rancho-cordova
Parkwest Casino Lotus	https://www.pokeratlas.com/poker-room/lotus-sacramento
Parkwest Casino Lodi	https://www.pokeratlas.com/poker-room/parkwest-lodi
Casino M8trix	https://www.pokeratlas.com/poker-room/casino-m8trix-san-jose
Casino 99	https://www.pokeratlas.com/poker-room/casino-99-chico
Turlock Poker Room	https://www.pokeratlas.com/poker-room/turlock-poker-room
Garlic City Casino	https://www.pokeratlas.com/poker-room/garlic-city-casino-gilroy
California Grand Casino	https://www.pokeratlas.com/poker-room/california-grand-pacheco
Livermore Casino	https://www.pokeratlas.com/poker-room/livermore-casino-livermore
Palace Poker Casino	https://www.pokeratlas.com/poker-room/palace-poker-casino-hayward
19th Hole	https://www.pokeratlas.com/poker-room/19th-hole-antioch
Black Pearl Casino	https://www.pokeratlas.com/poker-room/black-pearl-spokane
Lancer Lanes	
Lilac Lanes & Casino	https://www.pokeratlas.com/poker-room/lilac-lanes-spokane
Clearwater Saloon & Casino	
Club 48 Poker Room	
Fortune Poker Room	https://www.pokeratlas.com/poker-room/fortune-poker-room-renton
Red Dragon Poker	https://www.pokeratlas.com/poker-room/red-dragon-poker
Caribbean Cardroom	https://www.pokeratlas.com/poker-room/caribbean-cardroom-kirkland
Ace's Poker	https://www.pokeratlas.com/poker-room/aces-poker
Last Frontier Casino	https://www.pokeratlas.com/poker-room/the-last-frontier-la-center
Palace Casino	https://www.pokeratlas.com/poker-room/palace-casino-lakewood
Chips Casino	https://www.pokeratlas.com/poker-room/chips-casino-lakewood
Crazy Moose Casino Pasco	https://www.pokeratlas.com/poker-room/crazy-moose-pasco
Joker's Casino	https://www.pokeratlas.com/poker-room/jokers-casino-richland
Wild Goose Casino	https://www.pokeratlas.com/poker-room/wild-goose-casino-ellensburg
Silver Dollar Casino Renton	https://www.pokeratlas.com/poker-room/silver-dollar-renton
Roman Casino	https://www.pokeratlas.com/poker-room/roman-casino
All Star Lanes & Casino	https://www.pokeratlas.com/poker-room/all-star-lanes-silverdale
Seat Open Poker Room	
The Silver Slipper	
Rimrock Lodge Poker Room	
Doc & Eddy's Poker Room	https://www.pokeratlas.com/poker-room/docs-eddys-poker-room-billings
Bugz's Cardroom	https://www.pokeratlas.com/poker-room/bugzs-cardroom-billings
Shooters Poker Room	https://www.pokeratlas.com/poker-room/shooters-poker-room-billings
The Grandstand	
Queen of Hearts Card Club	
Red Door Lounge	
Claim Jumper Casino	
Silvertip Casino	https://www.pokeratlas.com/poker-room/silvertip-casino-missoula
Gray Wolf Peak Casino	
Stockman's Bar Poker Room	
VFW Poker Room Missoula	
Westside Lanes Poker	
Nickels Gaming Parlour	https://www.pokeratlas.com/poker-room/nickels-helena
Rialto Bar	
Miller's Crossing	
